model	config	test	t_s	stddev
Ornith-1.5-35B-BF16	cpu	pp512	50.94	0.90
Ornith-1.5-35B-BF16	cpu	tg128	6.78	0.06
Ornith-1.5-35B-BF16	gpu1	pp512	52.38	3.52
Ornith-1.5-35B-BF16	gpu1	tg128	12.15	0.03
Ornith-1.5-35B-BF16	gpu2	pp512	95.21	4.81
Ornith-1.5-35B-BF16	gpu2	tg128	22.16	0.18
Ornith-1.5-35B-BF16	gpu3	pp512	591.63	5.31
Ornith-1.5-35B-BF16	gpu3	tg128	46.65	0.03
Ornith-1.5-9B-BF16	cpu	pp512	74.17	0.28
Ornith-1.5-9B-BF16	cpu	tg128	3.83	0.01
Ornith-1.5-9B-BF16	gpu1	pp512	714.14	0.76
Ornith-1.5-9B-BF16	gpu1	tg128	27.32	0.01
Ornith-1.5-9B-BF16	gpu2	pp512	516.82	2.26
Ornith-1.5-9B-BF16	gpu2	tg128	26.85	0.05
Ornith-1.5-9B-BF16	gpu3	pp512	480.40	0.65
Ornith-1.5-9B-BF16	gpu3	tg128	28.48	0.02
gemma-4-26B-A4B-Q4_K_M	cpu	pp512	94.47	0.72
gemma-4-26B-A4B-Q4_K_M	cpu	tg128	12.27	0.02
gemma-4-26B-A4B-Q4_K_M	gpu1	pp512	1513.84	1.72
gemma-4-26B-A4B-Q4_K_M	gpu1	tg128	75.10	0.05
gemma-4-26B-A4B-Q4_K_M	gpu2	pp512	1197.84	1.93
gemma-4-26B-A4B-Q4_K_M	gpu2	tg128	72.23	0.08
gemma-4-26B-A4B-Q4_K_M	gpu3	pp512	979.56	1.36
gemma-4-26B-A4B-Q4_K_M	gpu3	tg128	65.77	0.02
gpt-oss-120b-MXFP4	cpu	pp512	63.19	0.34
gpt-oss-120b-MXFP4	cpu	tg128	13.35	0.03
gpt-oss-120b-MXFP4	gpu1	pp512	153.21	1.04
gpt-oss-120b-MXFP4	gpu1	tg128	16.30	0.39
gpt-oss-120b-MXFP4	gpu2	pp512	359.23	4.47
gpt-oss-120b-MXFP4	gpu2	tg128	32.31	4.30
gpt-oss-120b-MXFP4	gpu3	pp512	268.34	6.06
gpt-oss-120b-MXFP4	gpu3	tg128	69.54	0.13
llama-3.2-1B-Q8_0	cpu	pp512	344.96	2.74
llama-3.2-1B-Q8_0	cpu	tg128	36.56	0.12
llama-3.2-1B-Q8_0	gpu1	pp512	6637.69	7.30
llama-3.2-1B-Q8_0	gpu1	tg128	248.39	0.16
llama-3.2-1B-Q8_0	gpu2	pp512	6180.39	41.01
llama-3.2-1B-Q8_0	gpu2	tg128	228.14	0.70
llama-3.2-1B-Q8_0	gpu3	pp512	4867.54	37.40
llama-3.2-1B-Q8_0	gpu3	tg128	224.61	1.15
